step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
5696,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,0.792302
11392,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,2.3484249999999998
17088,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,4.723048
22784,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,7.816426
28480,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,11.567098999999999
34176,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,15.952511999999999
39872,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,20.979591
45568,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,26.608054
51264,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,32.859015
56960,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,39.730989
62656,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,47.245424
68352,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,55.400311
74048,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,64.216712
79744,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,73.68839
85440,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,83.804645
91136,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,94.630344
96832,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,106.09394499999999
102528,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,118.21333499999999
108224,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,130.976833
113920,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,144.394569
119616,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,158.430093
125312,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,173.114333
131008,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,188.43897299999998
136704,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,204.43449699999996
142400,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,221.06624399999995
148096,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,238.30912399999994
153792,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,256.21143299999994
159488,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,274.7569869999999
165184,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,293.9377989999999
170880,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,313.74923899999993
176576,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,334.23577399999994
182272,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,355.3716319999999
187968,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,377.1920579999999
193664,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,399.6604449999999
199360,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,422.8329819999999
205056,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,446.6456049999999
210752,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,471.11553099999986
216448,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,496.30328399999985
222144,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,522.1719379999998
227840,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,548.6985909999999
233536,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,575.9141019999998
239232,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,603.8591589999999
244928,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,632.4621529999998
250624,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,661.7148919999998
256320,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,691.6017899999998
262016,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,722.1373689999998
267712,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,753.3111499999998
273408,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,785.1402979999998
279104,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,817.6753309999998
284800,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,850.9050339999998
284807,Anomaly detection,GaussianScorer,creditcard,1.0,1.0,4.57763671875e-05,884.1355839999998
9880,Anomaly detection,GaussianScorer,kdd99_10pct_binary,1.0,1.0,4.57763671875e-05,1.294013
19760,Anomaly detection,GaussianScorer,kdd99_10pct_binary,0.9823886639676114,0.9564455569461827,4.57763671875e-05,3.9414640000000003
29640,Anomaly detection,GaussianScorer,kdd99_10pct_binary,0.9882591093117409,0.9581529581529581,4.57763671875e-05,7.825127
39520,Anomaly detection,GaussianScorer,kdd99_10pct_binary,0.9911943319838057,0.9581630199567203,4.57763671875e-05,12.891884000000001
49400,Anomaly detection,GaussianScorer,kdd99_10pct_binary,0.9929554655870445,0.9850103376981393,4.57763671875e-05,19.117819
59280,Anomaly detection,GaussianScorer,kdd99_10pct_binary,0.9941295546558705,0.9913673347886486,4.57763671875e-05,26.56653
69160,Anomaly detection,GaussianScorer,kdd99_10pct_binary,0.9949681897050318,0.9942069516580103,4.57763671875e-05,35.198512
79040,Anomaly detection,GaussianScorer,kdd99_10pct_binary,0.9345394736842105,0.9310188518251873,4.57763671875e-05,44.996046
88920,Anomaly detection,GaussianScorer,kdd99_10pct_binary,0.8353463787674315,0.8283567216497262,4.57763671875e-05,55.956587
