step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1
5697,Anomaly detection,HalfSpaceTrees,creditcard,0.0,0.8994607500026177,5697,0.981920308934527,
11394,Anomaly detection,HalfSpaceTrees,creditcard,0.0,1.6392435840025428,5697,0.9869229418992452,
17091,Anomaly detection,HalfSpaceTrees,creditcard,0.0,2.2673424589993374,5697,0.9897021824351998,
22788,Anomaly detection,HalfSpaceTrees,creditcard,0.0,2.921628416999738,5697,0.9918378093733544,
28485,Anomaly detection,HalfSpaceTrees,creditcard,0.0,3.5495998340011283,5697,0.993224504124978,
34182,Anomaly detection,HalfSpaceTrees,creditcard,0.0,4.17846854200252,5697,0.994061201802118,
39879,Anomaly detection,HalfSpaceTrees,creditcard,0.0,4.811846084001445,5697,0.9948845256902128,
45576,Anomaly detection,HalfSpaceTrees,creditcard,0.0,5.443718250000529,5697,0.99469018781815,
51273,Anomaly detection,HalfSpaceTrees,creditcard,0.0,6.073492625000654,5697,0.995124139410606,
56970,Anomaly detection,HalfSpaceTrees,creditcard,0.0,6.699351084000227,5697,0.9954888537826928,
62667,Anomaly detection,HalfSpaceTrees,creditcard,0.0,7.3014777089993,5697,0.9957872564507636,
68364,Anomaly detection,HalfSpaceTrees,creditcard,0.0,7.940146000000823,5697,0.9960359253408226,
74061,Anomaly detection,HalfSpaceTrees,creditcard,0.0,8.586415583999042,5697,0.9962193327122236,
79758,Anomaly detection,HalfSpaceTrees,creditcard,0.0,9.232914959000482,5697,0.996326387321648,
85455,Anomaly detection,HalfSpaceTrees,creditcard,0.0,9.888033999999609,5697,0.996442572113978,
91152,Anomaly detection,HalfSpaceTrees,creditcard,0.0,10.612830917001702,5697,0.9965881165525716,
96849,Anomaly detection,HalfSpaceTrees,creditcard,0.0,11.24588304200006,5697,0.9966855620605272,
102546,Anomaly detection,HalfSpaceTrees,creditcard,0.0,11.841864042002271,5697,0.9967721802898212,
108243,Anomaly detection,HalfSpaceTrees,creditcard,0.0,12.439348416999565,5697,0.9968866347015513,
113940,Anomaly detection,HalfSpaceTrees,creditcard,0.0,13.07148941700143,5697,0.99700719677023,
119637,Anomaly detection,HalfSpaceTrees,creditcard,0.0,13.700386625001556,5697,0.9971162767371298,
125334,Anomaly detection,HalfSpaceTrees,creditcard,0.0,14.337675292001222,5697,0.9971356535337578,
131031,Anomaly detection,HalfSpaceTrees,creditcard,0.0,15.012974417000803,5697,0.9972449267730537,
136728,Anomaly detection,HalfSpaceTrees,creditcard,0.0,15.657405792000644,5697,0.997345093909075,
142425,Anomaly detection,HalfSpaceTrees,creditcard,0.0,16.289692459002254,5697,0.9974021414779708,
148122,Anomaly detection,HalfSpaceTrees,creditcard,0.0,16.95912750000207,5697,0.9974007912396538,
153819,Anomaly detection,HalfSpaceTrees,creditcard,0.0,17.58324137499949,5697,0.997204506595414,
159516,Anomaly detection,HalfSpaceTrees,creditcard,0.0,18.21778679199997,5697,0.9971413525915896,
165213,Anomaly detection,HalfSpaceTrees,creditcard,0.0,18.84391704200243,5697,0.997227821055244,
170910,Anomaly detection,HalfSpaceTrees,creditcard,0.0,19.484124667000287,5697,0.9973085249546544,
176607,Anomaly detection,HalfSpaceTrees,creditcard,0.0,20.120800959000917,5697,0.9973840221508774,
182304,Anomaly detection,HalfSpaceTrees,creditcard,0.0,20.75680483399992,5697,0.9974493154291733,
188001,Anomaly detection,HalfSpaceTrees,creditcard,0.0,21.3908446250025,5697,0.9975106515390876,
193698,Anomaly detection,HalfSpaceTrees,creditcard,0.0,21.996985666999535,5697,0.9975167528833544,
199395,Anomaly detection,HalfSpaceTrees,creditcard,0.0,22.623779249999643,5697,0.9975726572882972,
205092,Anomaly detection,HalfSpaceTrees,creditcard,0.0,23.255917167000007,5697,0.9975962007294288,
210789,Anomaly detection,HalfSpaceTrees,creditcard,0.0,24.05543637500159,5697,0.9976564241967084,
216486,Anomaly detection,HalfSpaceTrees,creditcard,0.0,24.687895709001168,5697,0.997676524117033,
222183,Anomaly detection,HalfSpaceTrees,creditcard,0.0,25.331788458999657,5697,0.9977045948609928,
227880,Anomaly detection,HalfSpaceTrees,creditcard,0.0,25.978850916999363,5697,0.997731262067755,
233577,Anomaly detection,HalfSpaceTrees,creditcard,0.0,26.616365375000896,5697,0.9977609096786072,
239274,Anomaly detection,HalfSpaceTrees,creditcard,0.0,27.247916374999477,5697,0.9977640696440064,
244971,Anomaly detection,HalfSpaceTrees,creditcard,0.0,27.877059834001557,5697,0.9977670826342708,
250668,Anomaly detection,HalfSpaceTrees,creditcard,0.0,28.54310754200196,5697,0.9977739480109148,
256365,Anomaly detection,HalfSpaceTrees,creditcard,0.0,29.169384374999936,5697,0.9977766075712364,
262062,Anomaly detection,HalfSpaceTrees,creditcard,0.0,29.8110784590026,5697,0.9978096786256688,
267759,Anomaly detection,HalfSpaceTrees,creditcard,0.0,30.45176145900041,5697,0.9978338729977332,
273456,Anomaly detection,HalfSpaceTrees,creditcard,0.0,31.08287916699919,5697,0.9978716868527296,
279153,Anomaly detection,HalfSpaceTrees,creditcard,0.0,31.71607220900114,5697,0.9978972104903046,
9881,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,1.420218916999147,9881,0.9783422730492866,
19762,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,2.8239405839995015,9881,0.9723206153223358,
29643,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,4.358402541998657,9881,0.9738892824612894,
39524,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,5.752914041997428,9881,0.9803916607630808,
49405,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,7.1403680839976005,9881,0.9755692743649428,
59286,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,8.494469041997945,9881,0.967462807408157,
69167,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,9.86196816699885,9881,0.9721109777784204,
79048,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,11.251775291999364,9881,0.9719917012448132,
88929,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,12.680885624999064,9881,0.9683905137806564,
98810,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,14.015362499998446,9881,0.970185203926728,
108691,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,15.421285958997032,9881,0.97178239228639,
118572,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,16.753976374999183,9881,0.9741338595958574,
128453,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,18.295531874999146,9881,0.9761235627038684,
138334,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,19.671490583998093,9881,0.9753422875070482,
148215,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,21.094274084000062,9881,0.9638025840839322,
158096,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,22.477838583999983,9881,0.9638068009310798,
167977,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,23.8446766249981,9881,0.9659358126410164,
177858,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,25.176359834000323,9881,0.9678282674942932,
187739,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,26.52059024999835,9881,0.9695215165735408,
197620,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,27.97675362500013,9881,0.971045440744864,
207501,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,29.369984875000227,9881,0.9724242292808228,
217382,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,30.813045083999896,9881,0.9736776734044216,
227263,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,32.18179758399856,9881,0.9748221223868382,
237144,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,33.58914641699812,9881,0.97587120062072,
247025,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,34.96346383399941,9881,0.9768363525958912,
256906,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,36.37873220899928,9881,0.9777272621114338,
266787,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,37.75108112499947,9881,0.9785521783295288,
276668,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,39.184042499997304,9881,0.9793181719606172,
286549,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,40.53978916699998,9881,0.9800313384447336,
296430,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,42.02262612499908,9881,0.980696960496576,
306311,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,43.38006204199701,9881,0.9813196391902348,
316192,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,44.75904916699801,9881,0.98190340046554,
326073,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,46.100789874999464,9881,0.9824517822696144,
335954,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,47.472546291999606,9881,0.982967906320508,
345835,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,48.86933908399806,9881,0.9823181575028554,
355716,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,50.2418390419989,9881,0.9817410518503524,
365597,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,51.64624266699684,9881,0.982234536935478,
375478,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,53.02022270899761,9881,0.9815834749306218,
385359,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,54.42014070900041,9881,0.9820556935221444,
395240,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,55.75385070899938,9881,0.9825043011840908,
405121,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,57.13674149999861,9881,0.9824719034560044,
415002,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,58.478551083997445,9881,0.9828892390880044,
424883,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,59.858561249999184,9881,0.9832871637603764,
434764,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,61.23253349999868,9881,0.9836670009476406,
444645,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,62.609387791999325,9881,0.9840299564821374,
454526,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,63.98549724999975,9881,0.9837919062935894,
464407,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,65.39265720899857,9881,0.9833077451459604,
474288,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,66.72594004199709,9881,0.9836555004554196,
484169,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,0.0,68.08136404199831,9881,0.98340868581012,
207,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.1980100000000675,207,0.5169082125603864,
414,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.227951832999679,207,0.7584541062801933,
621,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.253882708002493,207,0.8389694041867954,
828,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.2814662919990951,207,0.8792270531400966,
1035,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.3499906670003838,207,0.9033816425120772,
1242,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.3752465420002409,207,0.9194847020933976,
1449,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.4008499580013449,207,0.9309868875086268,
1656,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.4257729580021987,207,0.9396135265700484,
1863,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.4506196670008648,207,0.9463231347289318,
2070,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.5121063330007019,207,0.9516908212560388,
2277,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.5382426670003042,207,0.956082564778217,
2484,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.5635389580020274,207,0.9597423510466988,
2691,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.5887521250006102,207,0.9628390932738758,
2898,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.6144273329991847,207,0.9654934437543132,
3105,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.642201999999088,207,0.9677938808373592,
3312,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.6659057500000927,207,0.969806763285024,
3519,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.6908015420012816,207,0.971582836032964,
3726,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.7163633750024019,207,0.973161567364466,
3933,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.785344708001503,207,0.9745741164505468,
4140,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.810380292001355,207,0.9758454106280192,
4347,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.8351156669996271,207,0.9769956291695422,
4554,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.8593683330000204,207,0.9780412823891084,
4761,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.8843067920024623,207,0.978996009241756,
4968,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.9085605000000214,207,0.9798711755233496,
5175,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.9338072919999832,207,0.9806763285024156,
5382,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.9593650419992628,207,0.981419546636938,
5589,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,0.98474300000089,207,0.9821077115763106,
5796,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,1.0094641249997949,207,0.9827467218771566,
6003,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,1.0396115000003192,207,0.9730134932533732,
6210,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,1.063799083000049,207,0.9650563607085346,
6417,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,1.0887197500014736,207,0.966183574879227,
6624,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,1.1141287079990434,207,0.9672403381642511,
6831,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,1.1786480830014625,207,0.9682330551895768,
7038,Anomaly detection,HalfSpaceTrees,nab_nyc_taxi,0.0,1.204614666999987,207,0.9691673770957658,
