step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1
106,Binary classification,AdaptiveRandomForestClassifier,bananas,595.1875,0.1634137920009379,0,0,
212,Binary classification,AdaptiveRandomForestClassifier,bananas,597.25,0.337034667,0,0,
318,Binary classification,AdaptiveRandomForestClassifier,bananas,597.265625,0.4376758750004228,0,0,
424,Binary classification,AdaptiveRandomForestClassifier,bananas,597.28125,0.5367350420001458,0,0,
530,Binary classification,AdaptiveRandomForestClassifier,bananas,597.296875,0.6356346249995113,0,0,
636,Binary classification,AdaptiveRandomForestClassifier,bananas,597.3125,0.7345558750002965,0,0,
742,Binary classification,AdaptiveRandomForestClassifier,bananas,597.5,0.8337031669998396,0,0,
848,Binary classification,AdaptiveRandomForestClassifier,bananas,597.734375,0.9318461670009128,0,0,
954,Binary classification,AdaptiveRandomForestClassifier,bananas,597.96875,1.0302657920001366,0,0,
1060,Binary classification,AdaptiveRandomForestClassifier,bananas,598.25,1.1297174579995044,0,0,
1166,Binary classification,AdaptiveRandomForestClassifier,bananas,598.5,1.229058000000805,0,0,
1272,Binary classification,AdaptiveRandomForestClassifier,bananas,598.765625,1.328310999999303,0,0,
1378,Binary classification,AdaptiveRandomForestClassifier,bananas,598.984375,1.4296259580005426,0,0,
1484,Binary classification,AdaptiveRandomForestClassifier,bananas,599.234375,1.5293429579996882,0,0,
1590,Binary classification,AdaptiveRandomForestClassifier,bananas,599.46875,1.6292809170008695,0,0,
1696,Binary classification,AdaptiveRandomForestClassifier,bananas,599.703125,1.729340833000606,0,0,
1802,Binary classification,AdaptiveRandomForestClassifier,bananas,599.984375,1.827775958,0,0,
1908,Binary classification,AdaptiveRandomForestClassifier,bananas,600.25,1.927531999999701,0,0,
2014,Binary classification,AdaptiveRandomForestClassifier,bananas,600.5,2.0283172500003275,0,0,
2120,Binary classification,AdaptiveRandomForestClassifier,bananas,600.71875,2.136053542000809,0,0,
2226,Binary classification,AdaptiveRandomForestClassifier,bananas,600.96875,2.275729875000252,0,0,
2332,Binary classification,AdaptiveRandomForestClassifier,bananas,601.21875,2.375653458,0,0,
2438,Binary classification,AdaptiveRandomForestClassifier,bananas,601.46875,2.476235042000553,0,0,
2544,Binary classification,AdaptiveRandomForestClassifier,bananas,601.703125,2.5755868750002264,0,0,
2650,Binary classification,AdaptiveRandomForestClassifier,bananas,601.9375,2.6763474170002155,0,0,
2756,Binary classification,AdaptiveRandomForestClassifier,bananas,602.203125,2.777114958000311,0,0,
2862,Binary classification,AdaptiveRandomForestClassifier,bananas,602.46875,2.876879375000499,0,0,
2968,Binary classification,AdaptiveRandomForestClassifier,bananas,602.734375,2.9768435420010064,0,0,
3074,Binary classification,AdaptiveRandomForestClassifier,bananas,602.9375,3.0768890420004027,0,0,
3180,Binary classification,AdaptiveRandomForestClassifier,bananas,603.203125,3.1787799169997015,0,0,
3286,Binary classification,AdaptiveRandomForestClassifier,bananas,603.46875,3.279028832999757,0,0,
3392,Binary classification,AdaptiveRandomForestClassifier,bananas,603.703125,3.379447875000551,0,0,
3498,Binary classification,AdaptiveRandomForestClassifier,bananas,603.953125,3.4790927920003014,0,0,
3604,Binary classification,AdaptiveRandomForestClassifier,bananas,604.21875,3.578484125000614,0,0,
3710,Binary classification,AdaptiveRandomForestClassifier,bananas,604.453125,3.678382458,0,0,
3816,Binary classification,AdaptiveRandomForestClassifier,bananas,604.703125,3.7778976669997064,0,0,
3922,Binary classification,AdaptiveRandomForestClassifier,bananas,604.9375,3.8774585419996583,0,0,
4028,Binary classification,AdaptiveRandomForestClassifier,bananas,605.1875,3.976609167000788,0,0,
4134,Binary classification,AdaptiveRandomForestClassifier,bananas,605.453125,4.0770434999994905,0,0,
4240,Binary classification,AdaptiveRandomForestClassifier,bananas,605.703125,4.177255042000979,0,0,
4346,Binary classification,AdaptiveRandomForestClassifier,bananas,605.921875,4.276199083000392,0,0,
4452,Binary classification,AdaptiveRandomForestClassifier,bananas,606.171875,4.374760000000606,0,0,
4558,Binary classification,AdaptiveRandomForestClassifier,bananas,606.421875,4.472259666999889,0,0,
4664,Binary classification,AdaptiveRandomForestClassifier,bananas,606.671875,4.570004875,0,0,
4770,Binary classification,AdaptiveRandomForestClassifier,bananas,606.90625,4.668920583000727,0,0,
4876,Binary classification,AdaptiveRandomForestClassifier,bananas,607.15625,4.768917542000054,0,0,
4982,Binary classification,AdaptiveRandomForestClassifier,bananas,607.40625,4.868623874999685,0,0,
5088,Binary classification,AdaptiveRandomForestClassifier,bananas,607.625,4.969188582999777,0,0,
5194,Binary classification,AdaptiveRandomForestClassifier,bananas,607.890625,5.0682110830002784,0,0,
5300,Binary classification,AdaptiveRandomForestClassifier,bananas,608.15625,5.169370583000273,0,0,
907,Binary classification,AdaptiveRandomForestClassifier,elec2,585.703125,0.850444375,0,0,
1814,Binary classification,AdaptiveRandomForestClassifier,elec2,589.40625,1.6983401249999588,0,0,
2721,Binary classification,AdaptiveRandomForestClassifier,elec2,593.09375,2.601547374999427,0,0,
3628,Binary classification,AdaptiveRandomForestClassifier,elec2,596.828125,3.4555575829999725,0,0,
4535,Binary classification,AdaptiveRandomForestClassifier,elec2,601,4.297818875000303,0,0,
5442,Binary classification,AdaptiveRandomForestClassifier,elec2,605.75,5.153219125,0,0,
6349,Binary classification,AdaptiveRandomForestClassifier,elec2,608.375,6.1033684160011035,0,0,
7256,Binary classification,AdaptiveRandomForestClassifier,elec2,610.46875,7.014628208000431,0,0,
8163,Binary classification,AdaptiveRandomForestClassifier,elec2,612.578125,7.8560840410009405,0,0,
9070,Binary classification,AdaptiveRandomForestClassifier,elec2,614.671875,8.7477355,0,0,
9977,Binary classification,AdaptiveRandomForestClassifier,elec2,616.78125,9.588786083,0,0,
10884,Binary classification,AdaptiveRandomForestClassifier,elec2,618.875,10.489622625000266,0,0,
11791,Binary classification,AdaptiveRandomForestClassifier,elec2,620.984375,11.32519858300111,0,0,
12698,Binary classification,AdaptiveRandomForestClassifier,elec2,623.078125,12.161464582999542,0,0,
13605,Binary classification,AdaptiveRandomForestClassifier,elec2,625.203125,13.00336100000095,0,0,
14512,Binary classification,AdaptiveRandomForestClassifier,elec2,627.28125,13.853983625000184,0,0,
15419,Binary classification,AdaptiveRandomForestClassifier,elec2,629.390625,14.69267708299958,0,0,
16326,Binary classification,AdaptiveRandomForestClassifier,elec2,631.515625,15.577866166000604,0,0,
17233,Binary classification,AdaptiveRandomForestClassifier,elec2,633.625,16.41563791599947,0,0,
18140,Binary classification,AdaptiveRandomForestClassifier,elec2,635.71875,17.25867654099966,0,0,
19047,Binary classification,AdaptiveRandomForestClassifier,elec2,637.828125,18.097270291000314,0,0,
19954,Binary classification,AdaptiveRandomForestClassifier,elec2,639.9375,18.93841508300102,0,0,
20861,Binary classification,AdaptiveRandomForestClassifier,elec2,635.984375,19.83953595800085,0,0,
21768,Binary classification,AdaptiveRandomForestClassifier,elec2,638.09375,20.76706012500108,0,0,
22675,Binary classification,AdaptiveRandomForestClassifier,elec2,640.1875,21.610036000000036,0,0,
23582,Binary classification,AdaptiveRandomForestClassifier,elec2,642.28125,22.44703116600067,0,0,
24489,Binary classification,AdaptiveRandomForestClassifier,elec2,644.390625,23.285713208000743,0,0,
25396,Binary classification,AdaptiveRandomForestClassifier,elec2,646.5,24.12345508,0,0,
26303,Binary classification,AdaptiveRandomForestClassifier,elec2,648.609375,24.965721124999614,0,0,
27210,Binary classification,AdaptiveRandomForestClassifier,elec2,650.703125,25.846750750000865,0,0,
28117,Binary classification,AdaptiveRandomForestClassifier,elec2,652.828125,26.691184208000777,0,0,
29024,Binary classification,AdaptiveRandomForestClassifier,elec2,654.9375,27.52962112500063,0,0,
29931,Binary classification,AdaptiveRandomForestClassifier,elec2,658.96875,28.42829949999941,0,0,
30838,Binary classification,AdaptiveRandomForestClassifier,elec2,661.0625,29.31671954100057,0,0,
31745,Binary classification,AdaptiveRandomForestClassifier,elec2,663.15625,30.21192571,0,0,
32652,Binary classification,AdaptiveRandomForestClassifier,elec2,665.265625,31.05184170800021,0,0,
33559,Binary classification,AdaptiveRandomForestClassifier,elec2,667.375,31.892824832999395,0,0,
34466,Binary classification,AdaptiveRandomForestClassifier,elec2,669.453125,32.73333258300045,0,0,
35373,Binary classification,AdaptiveRandomForestClassifier,elec2,671.5625,33.571790040999986,0,0,
36280,Binary classification,AdaptiveRandomForestClassifier,elec2,673.671875,34.410444916000415,0,0,
37187,Binary classification,AdaptiveRandomForestClassifier,elec2,675.78125,35.250461666000774,0,0,
38094,Binary classification,AdaptiveRandomForestClassifier,elec2,677.875,36.132716957999946,0,0,
39001,Binary classification,AdaptiveRandomForestClassifier,elec2,680.015625,36.97349970799951,0,0,
39908,Binary classification,AdaptiveRandomForestClassifier,elec2,682.109375,37.87523754100039,0,0,
40815,Binary classification,AdaptiveRandomForestClassifier,elec2,684.203125,38.82101862499985,0,0,
41722,Binary classification,AdaptiveRandomForestClassifier,elec2,686.34375,39.66812320800091,0,0,
42629,Binary classification,AdaptiveRandomForestClassifier,elec2,688.40625,40.56164604100013,0,0,
43536,Binary classification,AdaptiveRandomForestClassifier,elec2,690.515625,41.46052904099997,0,0,
44443,Binary classification,AdaptiveRandomForestClassifier,elec2,692.640625,42.29850470800011,0,0,
25,Binary classification,AdaptiveRandomForestClassifier,phishing,583.03125,0.038888917,0,0,
50,Binary classification,AdaptiveRandomForestClassifier,phishing,583.3125,0.077888417,0,0,
75,Binary classification,AdaptiveRandomForestClassifier,phishing,584.453125,0.120601209,0,0,
100,Binary classification,AdaptiveRandomForestClassifier,phishing,585.78125,0.1570849589988938,0,0,
125,Binary classification,AdaptiveRandomForestClassifier,phishing,585.953125,0.1825899169998592,0,0,
150,Binary classification,AdaptiveRandomForestClassifier,phishing,586.078125,0.206326709,0,0,
175,Binary classification,AdaptiveRandomForestClassifier,phishing,586.171875,0.2313920840006176,0,0,
200,Binary classification,AdaptiveRandomForestClassifier,phishing,586.359375,0.2582214169997314,0,0,
225,Binary classification,AdaptiveRandomForestClassifier,phishing,586.453125,0.2817589999995107,0,0,
250,Binary classification,AdaptiveRandomForestClassifier,phishing,586.640625,0.3049405420006223,0,0,
275,Binary classification,AdaptiveRandomForestClassifier,phishing,586.796875,0.3284541249995527,0,0,
300,Binary classification,AdaptiveRandomForestClassifier,phishing,586.921875,0.3520067089993972,0,0,
325,Binary classification,AdaptiveRandomForestClassifier,phishing,587.09375,0.3751444589997845,0,0,
350,Binary classification,AdaptiveRandomForestClassifier,phishing,587.234375,0.3988161249999393,0,0,
375,Binary classification,AdaptiveRandomForestClassifier,phishing,587.421875,0.4224039999990054,0,0,
400,Binary classification,AdaptiveRandomForestClassifier,phishing,587.59375,0.4456864589992619,0,0,
425,Binary classification,AdaptiveRandomForestClassifier,phishing,587.734375,0.4690282920000754,0,0,
450,Binary classification,AdaptiveRandomForestClassifier,phishing,587.90625,0.492669167,0,0,
475,Binary classification,AdaptiveRandomForestClassifier,phishing,588.0625,0.5165520840000681,0,0,
500,Binary classification,AdaptiveRandomForestClassifier,phishing,588.21875,0.5401639169995178,0,0,
525,Binary classification,AdaptiveRandomForestClassifier,phishing,588.40625,0.563508292,0,0,
550,Binary classification,AdaptiveRandomForestClassifier,phishing,588.59375,0.5867297089989734,0,0,
575,Binary classification,AdaptiveRandomForestClassifier,phishing,588.703125,0.6101356670005771,0,0,
600,Binary classification,AdaptiveRandomForestClassifier,phishing,588.875,0.634236834,0,0,
625,Binary classification,AdaptiveRandomForestClassifier,phishing,589.0625,0.6574125419992924,0,0,
650,Binary classification,AdaptiveRandomForestClassifier,phishing,589.203125,0.6809394169995358,0,0,
675,Binary classification,AdaptiveRandomForestClassifier,phishing,589.328125,0.7042917500002659,0,0,
700,Binary classification,AdaptiveRandomForestClassifier,phishing,589.546875,0.7276906669994787,0,0,
725,Binary classification,AdaptiveRandomForestClassifier,phishing,589.703125,0.750496042,0,0,
750,Binary classification,AdaptiveRandomForestClassifier,phishing,589.875,0.7736513750005543,0,0,
775,Binary classification,AdaptiveRandomForestClassifier,phishing,590.015625,0.7969174169993494,0,0,
800,Binary classification,AdaptiveRandomForestClassifier,phishing,590.15625,0.8203382499996223,0,0,
825,Binary classification,AdaptiveRandomForestClassifier,phishing,590.34375,0.8435055840000132,0,0,
850,Binary classification,AdaptiveRandomForestClassifier,phishing,590.5,0.8660263339988887,0,0,
875,Binary classification,AdaptiveRandomForestClassifier,phishing,590.65625,0.8892764590000297,0,0,
900,Binary classification,AdaptiveRandomForestClassifier,phishing,590.8125,0.9127133339989086,0,0,
925,Binary classification,AdaptiveRandomForestClassifier,phishing,591,0.9358557089999522,0,0,
950,Binary classification,AdaptiveRandomForestClassifier,phishing,591.140625,0.959007292,0,0,
