step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,MicroF1,MacroF1
47,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1465.296875,0.059909374998824205,0,0.0,0.0,0.0
94,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1465.9375,0.11103470799935167,0,0.0,0.0,0.0
141,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1466.3125,0.18083575000127894,41,0.21951219512195122,0.21951219512195122,0.05142857142857143
188,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1471.6875,0.259986500001105,47,0.13636363636363635,0.13636363636363635,0.03428571428571429
235,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1472.640625,0.32976508299907437,47,0.14814814814814814,0.14814814814814814,0.03686635944700461
282,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1473.015625,0.4024479159998009,47,0.12087912087912088,0.12087912087912088,0.03081232492997199
329,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1473.296875,0.47012912499849335,47,0.12663755458515283,0.12663755458515283,0.03211517165005537
376,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1473.5625,0.5387781249992258,47,0.12681159420289856,0.12681159420289856,0.03215434083601287
423,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1473.84375,0.6084670409982209,47,0.13622291021671826,0.13622291021671826,0.03425457376411055
470,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1474.15625,0.676319207999768,47,0.13783783783783785,0.13783783783783785,0.03461146929080421
517,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1474.4375,0.7462242910005443,47,0.14388489208633093,0.14388489208633093,0.03593890386343217
564,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1474.71875,0.8145968329990865,47,0.13577586206896552,0.13577586206896552,0.03415559772296015
611,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1475.015625,0.8835900410012982,47,0.136986301369863,0.136986301369863,0.03442340791738382
658,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1475.296875,0.9515724579978269,47,0.14157706093189965,0.14157706093189965,0.035433953801300745
705,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1475.578125,1.019215249998524,47,0.14380165289256197,0.14380165289256197,0.035920726672171756
752,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1475.875,1.086750040998595,47,0.14877300613496933,0.14877300613496933,0.03700171657448026
799,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1476.15625,1.1550607079989277,47,0.14449213161659513,0.14449213161659513,0.036071428571428574
846,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,1476.4375,1.222942749998765,47,0.1380697050938338,0.1380697050938338,0.034662628302204276
