step,track,model,dataset,Memory in Mb,Time in s,Valid updates,MAE,RMSE
12,Regression,SOKNLBT,chickweights,548.765625,0.023831833000258484,12,4.328890091390092,12.16834603378903
24,Regression,SOKNLBT,chickweights,548.890625,0.030234415999984776,12,2.632491555666992,8.642354878349131
36,Regression,SOKNLBT,chickweights,549.953125,0.04706379100025515,12,2.1822571382816824,7.1133776220621705
48,Regression,SOKNLBT,chickweights,550.9375,0.05336941600035061,12,1.8090990714389754,6.177252593343836
60,Regression,SOKNLBT,chickweights,551.0625,0.059598457999527454,12,2.5051049881516154,6.2185598565758005
72,Regression,SOKNLBT,chickweights,551.21875,0.06582958299986785,12,3.2204832820963216,6.390559303556107
84,Regression,SOKNLBT,chickweights,552.796875,0.08506766600021365,12,3.566015881211049,6.343978940614375
96,Regression,SOKNLBT,chickweights,552.953125,0.09643895800036262,12,3.9400807905552924,6.422208590479952
108,Regression,SOKNLBT,chickweights,555.09375,0.12170120799964934,12,4.605108500641007,7.0013594327901085
120,Regression,SOKNLBT,chickweights,555.125,0.12751933300023666,12,5.177308500669636,7.529163149406761
132,Regression,SOKNLBT,chickweights,555.234375,0.1333312910001041,12,5.875758254207377,8.194624755054594
144,Regression,SOKNLBT,chickweights,555.265625,0.15253166599995893,12,6.565682183291722,8.891579064802087
156,Regression,SOKNLBT,chickweights,555.296875,0.1584094580002784,12,7.310829761117374,9.720624464105997
168,Regression,SOKNLBT,chickweights,556.953125,0.1708104999997886,12,7.851630592699837,10.441661139680939
180,Regression,SOKNLBT,chickweights,556.984375,0.176687375000256,12,8.866024889856645,11.76720807569172
192,Regression,SOKNLBT,chickweights,557.0,0.18245733299954736,12,9.999026256816341,13.353235851917578
204,Regression,SOKNLBT,chickweights,557.109375,0.18866104100015946,12,10.934306347989907,14.459530850567644
216,Regression,SOKNLBT,chickweights,557.265625,0.19471570800033078,12,11.562332497946592,15.42515303586469
228,Regression,SOKNLBT,chickweights,557.328125,0.2121404999998049,12,12.536687332254695,16.873222406467594
