step,track,model,dataset,Accuracy,MicroF1,MacroF1,Memory in Mb,Time in s
46,Multiclass classification,Naive Bayes,imagesegments,0.4666666666666667,0.4666666666666667,0.4009102009102009,0.3899507522583008,3.332362
92,Multiclass classification,Naive Bayes,imagesegments,0.5604395604395604,0.5604395604395604,0.5279334700387331,0.3899507522583008,6.978403
138,Multiclass classification,Naive Bayes,imagesegments,0.5474452554744526,0.5474452554744526,0.5191892873237388,0.38997745513916016,10.91591
184,Multiclass classification,Naive Bayes,imagesegments,0.5573770491803278,0.5573770491803278,0.5225713529323662,0.3899507522583008,15.378577
230,Multiclass classification,Naive Bayes,imagesegments,0.5545851528384279,0.5545851528384279,0.5217226223148511,0.38997745513916016,20.741621000000002
276,Multiclass classification,Naive Bayes,imagesegments,0.56,0.56,0.5450388711329708,0.38997745513916016,26.876040000000003
322,Multiclass classification,Naive Bayes,imagesegments,0.5825545171339563,0.5825545171339563,0.5566705826058684,0.39000415802001953,34.167432000000005
368,Multiclass classification,Naive Bayes,imagesegments,0.5940054495912807,0.5940054495912807,0.5613773296963411,0.39000415802001953,42.668318000000006
414,Multiclass classification,Naive Bayes,imagesegments,0.5980629539951574,0.5980629539951574,0.5624927052752284,0.39000415802001953,53.021392000000006
460,Multiclass classification,Naive Bayes,imagesegments,0.599128540305011,0.599128540305011,0.5669821167583782,0.38997745513916016,65.02364600000001
506,Multiclass classification,Naive Bayes,imagesegments,0.6099009900990099,0.6099009900990099,0.5922286190986811,0.39000415802001953,77.96164500000002
552,Multiclass classification,Naive Bayes,imagesegments,0.6116152450090744,0.6116152450090744,0.5983340184133136,0.3899507522583008,92.98106600000001
598,Multiclass classification,Naive Bayes,imagesegments,0.6180904522613065,0.6180904522613065,0.611527101723203,0.38997745513916016,109.82607600000001
644,Multiclass classification,Naive Bayes,imagesegments,0.6158631415241057,0.6158631415241057,0.6113311881078581,0.38997745513916016,128.144326
690,Multiclass classification,Naive Bayes,imagesegments,0.6182873730043541,0.6182873730043541,0.615018998714676,0.38997745513916016,148.093508
736,Multiclass classification,Naive Bayes,imagesegments,0.617687074829932,0.617687074829932,0.6157912419016742,0.38997745513916016,169.39031200000002
782,Multiclass classification,Naive Bayes,imagesegments,0.6274007682458387,0.6274007682458387,0.6216325704223052,0.38997745513916016,191.98934900000003
828,Multiclass classification,Naive Bayes,imagesegments,0.6324062877871826,0.6324062877871826,0.6280704917469789,0.38997745513916016,215.59985900000004
874,Multiclass classification,Naive Bayes,imagesegments,0.6426116838487973,0.6426116838487973,0.6349558095046656,0.38997745513916016,240.30973500000005
920,Multiclass classification,Naive Bayes,imagesegments,0.6485310119695321,0.6485310119695321,0.6384515982514894,0.38997745513916016,266.26449700000006
966,Multiclass classification,Naive Bayes,imagesegments,0.6507772020725389,0.6507772020725389,0.6399118827528388,0.38997745513916016,293.76161500000006
1012,Multiclass classification,Naive Bayes,imagesegments,0.6508407517309595,0.6508407517309595,0.6387857120889422,0.38997745513916016,321.8594780000001
1058,Multiclass classification,Naive Bayes,imagesegments,0.6537369914853358,0.6537369914853358,0.6398811322847953,0.38997745513916016,350.7298630000001
