step,track,model,dataset,MAE,RMSE,R2,Memory in Mb,Time in s
11,Regression,Linear Regression,ChickWeights,30.432219699626994,31.267456151778337,-1257.4692714745631,0.004130363464355469,0.000767
22,Regression,Linear Regression,ChickWeights,20.75760844034268,23.632210645041404,-590.4769976066937,0.004130363464355469,0.002041
33,Regression,Linear Regression,ChickWeights,14.555240079240876,19.349294933329695,-259.0232069515881,0.004130363464355469,0.005889999999999999
44,Regression,Linear Regression,ChickWeights,11.143633659136759,16.767243978820222,-220.34524244378574,0.004130363464355469,0.010880999999999998
55,Regression,Linear Regression,ChickWeights,10.841164000616114,17.714902804136145,-60.2608923989398,0.004130363464355469,0.016911999999999996
66,Regression,Linear Regression,ChickWeights,10.32598508406065,16.527353468164844,-21.985729074745297,0.004130363464355469,0.023927999999999998
77,Regression,Linear Regression,ChickWeights,9.718401993814265,15.521096390186141,-12.587024696233003,0.004130363464355469,0.032006
88,Regression,Linear Regression,ChickWeights,8.767755200283737,14.552446235427842,-9.829280875288257,0.004130363464355469,0.041247
99,Regression,Linear Regression,ChickWeights,7.977130626229444,13.740429605807138,-7.074807888709797,0.004130363464355469,0.051667
110,Regression,Linear Regression,ChickWeights,7.506893871110683,13.098273311725844,-4.124041411671393,0.004130363464355469,0.062514
121,Regression,Linear Regression,ChickWeights,7.252833276832352,12.607637144454216,-2.6562249812820733,0.004130363464355469,0.073756
132,Regression,Linear Regression,ChickWeights,6.896359231575217,12.121970224209305,-1.7624336939368233,0.004130363464355469,0.085388
143,Regression,Linear Regression,ChickWeights,6.581914741629191,11.688367143429069,-1.080274127204615,0.004130363464355469,0.097405
154,Regression,Linear Regression,ChickWeights,6.347682986169337,11.314945909537578,-0.6567859420078188,0.004130363464355469,0.10980400000000001
165,Regression,Linear Regression,ChickWeights,6.47676439389405,11.21748999353191,-0.30899590760610374,0.004130363464355469,0.12258700000000002
176,Regression,Linear Regression,ChickWeights,6.552290709218319,11.100632967129414,-0.03357189497448321,0.004130363464355469,0.135781
187,Regression,Linear Regression,ChickWeights,6.503097179992549,10.915357728148932,0.18175912588502985,0.004130363464355469,0.14961200000000002
198,Regression,Linear Regression,ChickWeights,6.420443618722296,10.727647067877953,0.3713230272376924,0.004130363464355469,0.16386100000000003
209,Regression,Linear Regression,ChickWeights,6.54715053669462,10.814712106795348,0.47329133398018763,0.004130363464355469,0.17850300000000002
220,Regression,Linear Regression,ChickWeights,7.075852889975692,11.488147441481185,0.479648982578291,0.004130363464355469,0.193535
231,Regression,Linear Regression,ChickWeights,7.197265349840174,11.527376107145999,0.5518657524511614,0.004130363464355469,0.20895000000000002
242,Regression,Linear Regression,ChickWeights,7.359957454348683,11.71365363090123,0.6276606533313056,0.004130363464355469,0.22474800000000003
253,Regression,Linear Regression,ChickWeights,7.389343614466645,11.704104182671559,0.6771453727427903,0.004130363464355469,0.24092700000000003
264,Regression,Linear Regression,ChickWeights,8.007684680730522,12.681713023454451,0.6536838584261326,0.004210472106933594,0.257489
275,Regression,Linear Regression,ChickWeights,8.456356064016727,13.562457362384485,0.6514630282957669,0.004210472106933594,0.274436
286,Regression,Linear Regression,ChickWeights,8.682222588679535,13.91372755183948,0.6822857451181047,0.004210472106933594,0.291766
297,Regression,Linear Regression,ChickWeights,8.656490376145301,13.862729792291397,0.7264657185265005,0.004210472106933594,0.309479
308,Regression,Linear Regression,ChickWeights,9.17087534181789,14.586626878398466,0.730278281446047,0.004210472106933594,0.327577
319,Regression,Linear Regression,ChickWeights,10.253235573939358,17.040182474587255,0.6659707835095393,0.004210472106933594,0.34605600000000003
330,Regression,Linear Regression,ChickWeights,10.67218268870669,17.597898989920818,0.6951262006904333,0.004210472106933594,0.364914
341,Regression,Linear Regression,ChickWeights,10.865878827617594,17.684075493652397,0.7243197409220903,0.004210472106933594,0.384152
352,Regression,Linear Regression,ChickWeights,11.014541487264223,17.788847456042067,0.7464163188501894,0.004210472106933594,0.403769
363,Regression,Linear Regression,ChickWeights,11.893125923244742,19.14640328452056,0.7147396000186461,0.004210472106933594,0.423764
374,Regression,Linear Regression,ChickWeights,12.40252640363099,20.24468752454989,0.7068188127948265,0.004210472106933594,0.444142
385,Regression,Linear Regression,ChickWeights,12.78041264925886,20.84297745742841,0.7250508110390363,0.004210472106933594,0.464899
396,Regression,Linear Regression,ChickWeights,12.908163646252072,20.82655299121286,0.7440434321899679,0.004210472106933594,0.486049
407,Regression,Linear Regression,ChickWeights,13.78624220521945,22.297725224665914,0.7272822586077066,0.004210472106933594,0.5075810000000001
418,Regression,Linear Regression,ChickWeights,14.56231380927385,23.732773749874315,0.7099846963904786,0.004210472106933594,0.529494
429,Regression,Linear Regression,ChickWeights,15.109717404902197,24.642068489898374,0.7221580232945248,0.004210472106933594,0.551822
440,Regression,Linear Regression,ChickWeights,15.287005413554732,24.721522560240437,0.7401560140604169,0.004210472106933594,0.574535
451,Regression,Linear Regression,ChickWeights,15.806865735774078,25.331119330890413,0.7387809061287051,0.004210472106933594,0.597629
462,Regression,Linear Regression,ChickWeights,16.912347710111163,27.450327347193873,0.7118740092210123,0.004210472106933594,0.621103
473,Regression,Linear Regression,ChickWeights,17.68786801080465,28.748046923071918,0.7209603573249957,0.004210472106933594,0.64496
484,Regression,Linear Regression,ChickWeights,18.02230431978895,29.040370094251127,0.7308604085348502,0.004210472106933594,0.669196
495,Regression,Linear Regression,ChickWeights,18.476434617297652,29.565622398548214,0.7375811559076941,0.004210472106933594,0.69381
506,Regression,Linear Regression,ChickWeights,19.368862660258834,31.016595939650866,0.7195863076124669,0.004210472106933594,0.7188030000000001
